All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:21
Date Period,01/03/2026 - 31/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
43,Tome Ame - Miki Rugby Shirt [2],Ongoing,Product Ad,28255396034,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,100007,4337,4.34%,89,68,2.05%,1.57%,18846.88,24667.23,89,68,25454068,21105877,1677372,15.17,12.58,6.59%,7.95%,-,-,-,0,0
44,TOME AME - MOMO STRIPE SHIRT - KEMEJA LENGAN PANJANG WANITA  COTTON STRIPE,Ongoing,Product Ad,48855168612,-,GMV Max Custom ROAS,All,30/01/2026 00:00:00,Unlimited,84636,5091,6.02%,42,25,0.82%,0.49%,25637.38,43070.80,42,25,11710048,7695617,1076770,10.88,7.15,9.20%,13.99%,-,-,-,0,0
45,Tome Ame - Junko Knit Jersey Dark Green [5],Ongoing,Product Ad,18693748789,-,GMV Max Custom ROAS,All,29/06/2024 00:00:00,Unlimited,57167,1259,2.20%,22,13,1.75%,1.03%,20218.80,34216.43,23,13,5334628,4063328,444814,11.99,9.13,8.34%,10.95%,-,-,-,0,0
46,TOME AME - HANARI SHIRTS T SHIRT BOXY - KAOS LENGAN PANJANG OVERSIZE 24S,Ongoing,Product Ad,56706018960,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,49509,2293,4.63%,38,27,1.66%,1.18%,17847.80,25119.12,39,28,8094600,5950400,678216,11.94,8.77,8.38%,11.40%,-,-,-,0,0
47,Tome Ame - Omi Striped Shirt,Ongoing,Product Ad,28177404480,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,44540,1075,2.41%,30,17,2.79%,1.58%,10155.77,17921.94,30,17,8132469,4966720,304673,26.69,16.30,3.75%,6.13%,-,-,-,0,0
48,Tome Ame - Tomerebi Striped Longsleeve Shirt - Kaos Lengan Panjang Custom Stripe,Ongoing,Product Ad,51302020363,-,GMV Max Custom ROAS,All,29/12/2025 00:00:00,Unlimited,41009,1516,3.70%,18,8,1.19%,0.53%,25313.70,56955.82,18,8,4160155,1973000,455647,9.13,4.33,10.95%,23.09%,-,-,-,0,0
49,Tome Ame - Shinya Longsleeve Shirt - Kaos Polo Lengan Motif Polkadot,Ongoing,Product Ad,57102025026,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,33957,1685,4.96%,28,13,1.66%,0.77%,15901.69,34249.80,28,13,6519090,3494790,445247,14.64,7.85,6.83%,12.74%,-,-,-,0,0
50,Tome Ame - Fuka Longsleeve Grey,Ongoing,Product Ad,28763632403,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,31519,753,2.39%,33,15,4.38%,1.99%,13189.50,29016.89,33,15,7045116,3016116,435253,16.19,6.93,6.18%,14.43%,-,-,-,0,0
51,Tome Ame - Runa Crop Tee White on White,Ongoing,Product Ad,26927406568,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,29340,1359,4.63%,18,14,1.32%,1.03%,12265.83,15770.35,18,14,3175539,2488639,220785,14.38,11.27,6.95%,8.87%,-,-,-,0,0
52,Tome Ame - Ayame Shirt,Ongoing,Product Ad,55252004709,-,GMV Max Custom ROAS,All,07/12/2025 00:00:00,Unlimited,26828,1872,6.98%,21,14,1.12%,0.75%,19047.62,28571.43,21,14,5901299,4250400,400000,14.75,10.63,6.78%,9.41%,-,-,-,0,0
53,TOME AME - NINA T SHIRT LONGSLEEVE - KAOS LENGAN PANJANG ASIMETRIS MOTIF BUNGA,Ongoing,Product Ad,28344217129,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,10792,594,5.50%,17,8,2.86%,1.35%,11787.30,25048.00,17,8,3617510,1729900,200384,18.05,8.63,5.54%,11.58%,-,-,-,0,0
54,Tome Ame - Tome Club Boxy Longsleeve Brown - Kaos Lengan Panjang Oversized Coklat 24S,Ongoing,Product Ad,43008297268,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,4594,177,3.85%,11,0,6.21%,0.00%,4237.69,0.00,11,0,2438466,0,46615,52.31,0.00,1.91%,0.00%,-,-,-,0,0
55,Tome Ame - Omi Striped Shirt Pink - Kemeja Garis Lengan Panjang Embrodiery,Ongoing,Product Ad,43203171741,-,GMV Max Custom ROAS,All,09/06/2025 00:00:00,Unlimited,3797,276,7.27%,5,1,1.81%,0.36%,4015.57,20077.84,5,1,1405510,292160,20078,70.00,14.55,1.43%,6.87%,-,-,-,0,0
56,Tome Ame - Omi Striped Shirt Black - Kemeja Garis Lengan Panjang Embrodiery,Ongoing,Product Ad,50702904911,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,2119,122,5.76%,10,1,8.20%,0.82%,2971.74,29717.44,10,1,1276400,294500,29717,42.95,9.91,2.33%,10.09%,-,-,-,0,0
57,Tome Ame - Pichi Jersey Tee - Kaos Jersey 24S Oversized,Ongoing,Product Ad,44952045072,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,1371,17,1.24%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7233,0.00,0.00,0.00%,0.00%,-,-,-,0,0
58,Tome Ame - Kiki Retro Windbreaker Jacket Black - Jaket Windbreaker Wanita,Ongoing,Product Ad,41310208723,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
59,Tome Ame - Yuna Longsleeve - Kaos Lengan Panjang Embroidery 24S Motif Bunga,Ongoing,Product Ad,47453535326,-,GMV Max Custom ROAS,All,29/12/2025 00:00:00,Unlimited,1,0,0.00%,1,0,0.00%,0.00%,0.00,0.00,1,0,192000,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
60,Tome Ame - Yume Long Sleeve - Longsleeve 24S Two Tone,Ongoing,Product Ad,44652040537,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,0,0,0.00%,1,1,0.00%,0.00%,0.00,0.00,1,1,221850,221850,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
61,Tome Ame - Kana 07 Boxy Longsleeve Grey,Paused,Product Ad,29027104533,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,3802,125,3.29%,1,1,0.80%,0.80%,8247.01,8247.01,1,1,193200,193200,8247,23.43,23.43,4.27%,4.27%,-,-,-,0,0
